term;explanation;source
Das Haus ist groß;Дом большой;db  
Der Baum ist schön;Дерево красивое;db  
Der Hund bellt laut;Собака громко лает;db  
Die Katze schläft auf dem Tisch;Кошка спит на столе;db  
Das Auto ist rot;Автомобиль красный;db  
Ich lese ein Buch;Я читаю книгу;db  
Der Tisch ist aus Holz;Стол из дерева;db  
Der Stuhl ist bequem;Стул удобный;db  
Das Fenster ist offen;Окно открыто;db  
Die Tür ist geschlossen;Дверь закрыта;db  
Die Schule ist nah;Школа близко;db  
Der Lehrer erklärt die Aufgabe;Учитель объясняет задание;db  
Der Schüler macht seine Hausaufgaben;Ученик делает домашнее задание;db  
Das Essen schmeckt gut;Еда вкусная;db  
Ich möchte etwas trinken;Я хочу что-то выпить;db  
